Timestamp,Name,Which courses would you be interested in being a TA or grader for in Fall 2019?  (Select all that apply),,,,,,
4/8/2019 12:49:55,Student 55,"21-228: Discrete Mathematics (TA or Grader), 21-242: Matrix Theory (TA), 21-268: Multidimensional Calculus (TA or Grader), 21-301: Combinatorics (Grader), 21-355: Principles of Real Analysis I (Grader)",,,,,,
4/7/2019 15:57:42,Student 56,"21-127: Concepts of Mathematics (TA or Grader), 21-237: Mathematical Studies Algebra I (TA), 21-325: Probability (Grader), 21-373: Algebraic Structures (Grader)",,,,,,
4/8/2019 13:31:57,Student 57,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/8/2019 9:03:40,Student 58,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/20/2019 19:29:29,Student 59,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/7/2019 22:09:00,Student 60,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/8/2019 14:47:34,Student 61,"21-120: Differential and Integral Calculus (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/7/2019 17:32:29,Student 62,"21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA)",,,,,,
4/8/2019 20:15:32,Student 63,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-127: Concepts of Mathematics (TA or Grader)",,,,,,
4/9/2019 22:14:55,Student 64,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/18/2019 10:45:38,Student 65,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/17/2019 19:30:25,Student 66,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/15/2019 21:30:47,Student 67,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/17/2019 12:24:46,Student 68,"21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA)",,,,,,
4/7/2019 22:09:04,Student 69,"21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA), 21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/13/2019 23:51:30,Student 70,"21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-259: Calculus in Three Dimensions (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/16/2019 22:02:23,Student 71,"21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-235: Mathematical Studies Analysis I (TA), 21-237: Mathematical Studies Algebra I (TA), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-268: Multidimensional Calculus (TA or Grader), 21-325: Probability (Grader), 21-341: Linear Algebra (Grader), 21-355: Principles of Real Analysis I (Grader), 21-373: Algebraic Structures (Grader), 21-441: Number Theory (Grader)",,,,,,
4/7/2019 16:18:33,Student 72,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-237: Mathematical Studies Algebra I (TA), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-355: Principles of Real Analysis I (Grader), 21-373: Algebraic Structures (Grader), 21-441: Number Theory (Grader)",,,,,,
4/15/2019 13:42:20,Student 73,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/22/2019 12:15:37,Student 74,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA)",,,,,,
4/24/2019 18:07:57,Student 75,"21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/7/2019 15:58:07,Student 76,"21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/7/2019 15:42:00,Student 77,"21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA), 21-325: Probability (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/7/2019 15:40:05,Student 78,"21-301: Combinatorics (Grader), 21-341: Linear Algebra (Grader), 21-355: Principles of Real Analysis I (Grader), 21-356: Principles of Real Analysis II (Grader)",,,,,,
4/16/2019 16:37:20,Student 79,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader), 21-240: Matrix Algebra with Applications (TA), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA)",,,,,,
4/23/2019 15:06:32,Student 80,"21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/20/2019 19:01:21,Student 81,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/14/2019 14:18:18,Student 82,21-355: Principles of Real Analysis I (Grader),,,,,,
4/15/2019 1:05:24,Student 83,"21-127: Concepts of Mathematics (TA or Grader), 21-228: Discrete Mathematics (TA or Grader)",,,,,,
4/9/2019 18:26:57,Student 84,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-370: Discrete Time Finance (Grader), 21-378: Mathematics of Fixed Income Markets (Grader)",,,,,,
4/7/2019 16:48:09,Student 85,"21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-242: Matrix Theory (TA), 21-256: Multivariate Analysis (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/9/2019 21:42:38,Student 86,"21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/21/2019 11:13:48,Student 87,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader)",,,,,,
4/8/2019 22:33:27,Student 88,21-228: Discrete Mathematics (TA or Grader),,,,,,
4/7/2019 19:46:57,Student 89,"21-111: Calculus I (TA), 21-112: Calculus II (TA), 21-120: Differential and Integral Calculus (TA), 21-122: Integration and Approximation (TA), 21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA), 21-260: Differential Equations (TA), 21-268: Multidimensional Calculus (TA or Grader)",,,,,,
4/9/19 19:58,Student 90,"21-127: Concepts of Mathematics, 21-228: Discrete Mathematics",,,,,,
4/20/2019 18:13:33,Student 91,"21-127: Concepts of Mathematics (TA or Grader), 21-241: Matrices and Linear Transformations (TA), 21-259: Calculus in Three Dimensions (TA)",,,,,,
4/7/2019 15:42:07,Student 92,"21-241: Matrices and Linear Transformations (TA), 21-260: Differential Equations (TA), 21-370: Discrete Time Finance (Grader)",,,,,,
